"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"meleeWeaponType","string","0",""
"configurationFramework","string","0",""
"mainWeaponClassname","string","0",""
"offhandWeaponClassname","string","0",""
"deathbox","asset","0",""
"menuAnimSeq","asset","0",""
"koSound","string","0",""
"storeImage","asset_noprecache","0",""
"equipImage","asset_noprecache","0",""
"legends","array_dynamic","0","A list of legends item flavors that are valid for this weapon."
"skins","array_dynamic","1","A list of weapon skin item flavors that are valid for this weapon."
"componentSets","array_dynamic","2","A list of component sets"
"menuMdlRot","float3","0","Rotation (pitch, yaw, roll) of the menu preview model."
"skinAlias_sfxAliases","array_dynamic","3","A list of SFX Aliases for animations on weapons that use this power core."
"battlePassScale","float","0",""
"lootCeremonyScale","float","0",""
"itemInspectScale","float","0",""
"itemInspectOffset","float3","0","An offset to adjust model positioning in the item inspect menu."
"scriptAnimWindowFXControls","array_dynamic","4","FX to start when a given ScriptAnimWindow parameter is passed."
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
