"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"questModel","asset","0","The model to be assemebled in this quest"
"questTabLongDesc","string","0",""
"questTabCornerImage","asset_noprecache","0",""
"questTabRightCornerImage","asset_noprecache","0",""
"questTabDeepLinkLabel","string","0",""
"deepLinkStartTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_start_time"
"deepLinkFinishTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_finish_time"
"questTabDeepLink","string","0","Deep Link to another part of the UI, if blank button will not appear"
"questTabBasicInfoHeader","string","0",""
"questTabBasicInfoItemText0","string","0",""
"questTabBasicInfoItemText1","string","0",""
"questTabBasicInfoItemText2","string","0",""
"questTabBasicInfoItemText3","string","0",""
"questTabArtifactProgressHeader","string","0",""
"grxOfferLocation","string","0",""
"treasureBoxPurchaseFlav","asset","0",""
"treasurePacksSequenceMarketplaceVar","string","0","The Marketplace var name to track treasure packs granting."
"comicPageRewardsSequenceMarketplaceVar","string","0","The Marketplace var name to grant either the *FINAL* treasure pack rewards 'bundle' OR comic page reward granting."
"missionRewardsSequenceMarketplaceVar","string","0","The Marketplace var name to track mission reward granting."
"defaultQuestItemIcon","asset_noprecache","0",""
"loreSequencePrologueDT","asset","0",""
"loreSequenceEpilogueDT","asset","0",""
"completionRewards","array_dynamic","0",""
"treasurePacksSchedule","array_dynamic","1",""
"comicPages","array_dynamic","2",""
"missions","array_dynamic","3",""
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
