"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"preceedingPeriod","asset","0",""
"followingPeriod","asset","0",""
"rankv2split","string","0","0:No split, 1:first split, 2:second split"
"tiers","array_dynamic","0","A list of data for each tier of the ranked period. Must not be empty."
"ladderOnlyTier","array_dynamic","1","A Tier that is reached exclusively by ladder position. Can have at most one tier, that has a single division."
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"rewardOnHighestWatermark","bool","0","If this is selected, it will tell the game to reward based on highest watermark for this season"
