"fieldName","dataType","layoutIndex","helpText"
"name","string","0",""
"rankedTrialToEnterTier","asset","0",""
"icon","asset_noprecache","0",""
"iconRuiAsset","string","0",""
"promotionalMetallicImage","asset_noprecache","0",""
"bgImage","asset_noprecache","0",""
"glowImage","asset_noprecache","0",""
"levelUpRuiAsset","string","0",""
"promotionAnnouncement","string","0",""
"entryCost","int","0","Amount to be deducted at the start of the match"
"maxProtection","int","0","Upper limit of demotion protection"
"minProtection","int","0","Lower limit of demotion protection"
"lpDecayAmount","int","0","The amount of LP decay per day once a player has exhausted their banked days."
"rewards","array_dynamic","0","A list of rewards for this tier."
"divisions","array_dynamic","1","A list of divisions in this tier."
"allowsDemotion","bool","0","If this is selected, it will tell the game this tier can be demoted out of."
"isTopEnd","bool","0","If this is selected, it will tell the game that this is considered a Top End ladder rank. Enables features like LP Decay."
