"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"entersTier","string","0","What tier does the player enter upon completing this Trial"
"description","string","0",""
"statRef","string","0","What stat to use for tracking completion. Assumes Ranked-specific stat."
"descriptionAltOne","string","0",""
"statRefAltOne","string","0","What stat to use for tracking completion. Assumes Ranked-specific stat."
"descriptionAltTwo","string","0",""
"statRefAltTwo","string","0","What stat to use for tracking completion. Assumes Ranked-specific stat."
"matchCount","int","0",""
"matchCountMax","int","0",""
"bonusLPGain","int","0","How much LP the Player gets when they succeed. Note this **clobbers** any background LP gains."
"maxLPLoss","int","0","Assumed negative. Do not put a negative number in this box."
"minLPLoss","int","0","Assumed negative. Do not put a negative number in this box."
"goalVal","int","0",""
"singleMatchComboCount","int","0",""
"goalValAltOne","int","0",""
"goalValAltTwo","int","0",""
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"singleMatch","bool","0",""
