"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"grxMode","string","0","Specify what kind of item this is in the GRX backend (essentially MTX/EA Marketplace). Note that you can specify this without adding it to marketplace (it will be a warning but the game will run)."
"grxRef","string","0","The string ref used for communicating with EA Marketplace. DO NOT ADD A NEW STRING OR EDIT THIS STRING WITHOUT TALKING TO XANDER!!!"
"ownershipTarget","asset","0",""
"stickerMaterial","asset_noprecache","0","The sticker material to be used"
"nonDecalStickerMaterial","asset_noprecache","0","The sticker material used when showing flat (unapplied) sticker previews in the lobby."
"customSkinMenuBlurb","string","0",""
"multipleOwnershipTargets","array_dynamic","0",""
"injectorScales","array_dynamic","1","The scale to show a  sticker at on the injector on each attachment slot."
"injectorScale","float","0","The default scale of the sticker when placed on the injector model."
"shieldCellScales","array_dynamic","2","The scale to show a  sticker at on the shield cell on each attachment slot."
"shieldCellScale","float","0","The default scale of the sticker when placed on the shield cell model."
"shieldBatteryScales","array_dynamic","3","The scale to show a  sticker at on the shield battery on each attachment slot."
"shieldBatteryScale","float","0","The default scale of the sticker when placed on the shield Battery model."
"phoenixKitScales","array_dynamic","4","The scale to show a  sticker at on the phoenix kit on each attachment slot."
"phoenixKitScale","float","0","The default scale of the sticker when placed on the phoenix kit model."
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"isTheEmpty","bool","0","Only the '_empty' flavor should have this checked."
