"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"grxMode","string","0","Specify what kind of item this is in the GRX backend (essentially MTX/EA Marketplace). Note that you can specify this without adding it to marketplace (it will be a warning but the game will run)."
"grxRef","string","0","The string ref used for communicating with EA Marketplace. DO NOT ADD A NEW STRING OR EDIT THIS STRING WITHOUT TALKING TO XANDER!!!"
"ownershipTarget","asset","0",""
"worldModel","asset","0","3rd person weapon model"
"viewModel","asset","0","1st person wepaon viewmodel"
"skinName","string","0","The skin from the model to apply when this skin is used."
"exclusiveFunc","string","0",""
"unlockFuncKey","string","0",""
"video","string","0",""
"customSkinMenuBlurb","string","0",""
"multipleOwnershipTargets","array_dynamic","0",""
"camoIndex","int","0","The index for which camo to apply from the camo_skins texture list asset when this skin is used.\nOnly has an effect if the skin contains materials with 'Custom Camo Detail Texture' enabled. A value of 0 means no camo will be applied."
"hackyRUISchemeIdentifier","int","0",""
"featureReactsToKillsLevels","array_dynamic","1",""
"skinAlias_vfxAliases","array_dynamic","2","A list of VFX Aliases for animations on this weapon."
"skinAlias_sfxAliases","array_dynamic","3","A list of SFX Aliases for animations on this weapon."
"skinAlias_bodyGroupAliases","array_dynamic","4","A list of Body Group Aliases for animations on this weapon."
"skinAlias_impactTableAliases","array_dynamic","5","A list of Impact Table Aliases for animations on this weapon."
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"exclusive","bool","0","If checked this will should be exclusive"
"shouldHideIfLocked","bool","0","If checked this badge will not appear in menus while locked"
"forceFullWeaponIcon","bool","0","If checked, battlepass will show the full icon in the reward button (i.e. not squish the image)"
"featureReactsToKills","bool","0",""
"forceVideoInspect","bool","0","If checked, inspect item screen will display the video blink instead of the 3D weapon model"
