"fieldName","dataType","layoutIndex","helpText"
"killSoundEvent1p","string","0",""
"killSoundEvent3p","string","0",""
"transitionSoundEvent1p","string","0",""
"transitionSoundEvent3p","string","0",""
"persistentSoundEvent1p","string","0",""
"persistentSoundEvent3p","string","0",""
"killCount","int","0",""
"killSoundDuration","float","0","float variable in seconds"
"transitionSoundDuration","float","0","float variable in seconds"
"emissiveIntensity","float","0","[OPTIONAL] Sets the value for kv.intensity on the weapon model."
"killFXList","array_dynamic","0",""
"transitionFXList","array_dynamic","1",""
"persistentFXList","array_dynamic","2",""
"bodygroupChangeList","array_dynamic","3",""
"weaponModListAdd","array_dynamic","4",""
"weaponModListRemove","array_dynamic","5",""
"killSoundSyncToAnim","bool","0","If true, we will push the sound for some time to make sure it syncs with animation"
"transitionSoundSyncToAnim","bool","0","If true, we will push the sound for some time to make sure it syncs with animation"
