"triggerName","zoneName","miniMapName","zoneGroup","statsRef"
"Z_01_A","#MAPZONE_BASIN","#MAPZONE_BASIN","",""
"Z_01_B","#MAPZONE_EXCAVATION","#MAPZONE_EXCAVATION_SHORT","",""
"Z_01_D","#MAPZONE_RIG_STAGING","#MAPZONE_RIG_STAGING","",""
"Z_01_C","","","",""
"Z_01_E","","","",""
"// Capacitor sneak route -> JCT_01_05","","","",""
"Z_01_F","#MAPZONE_CLIFFSIDE_CREVICE","#MAPZONE_CLIFFSIDE_CREVICE","",""
"Z_02_A","#MAPZONE_SWAMPLAND","#MAPZONE_SWAMPLAND_SHORT","zoneSwamps","can_swamps"
"Z_02_B","#MAPZONE_SWAMPLAND","","zoneSwamps","can_swamps"
"Z_03_A","#MAPZONE_RECLAIMED_FOREST","MAPZONE_RECLAIMED_FOREST","zoneShatteredForest",""
"Z_03_B","#MAPZONE_WRAITH_TT","#MAPZONE_WRAITH_TT_SHORT","zoneShatteredForest",""
"Z_03_C","#MAPZONE_WRAITH_TT_INSIDE","","zoneShatteredForest",""
"Z_03_D","#MAPZONE_OVERLOOK","#MAPZONE_OVERLOOK","zoneShatteredForest",""
"Z_03_E","#MAPZONE_FOREST_OUTPOST","#MAPZONE_FOREST_OUTPOST","zoneShatteredForest",""
"Z_03_F","#MAPZONE_OVERLOOK_LOWER","#MAPZONE_OVERLOOK_LOWER","zoneShatteredForest",""
"Z_04_A","#MAPZONE_HYDRO_DAM","#MAPZONE_HYDRO_DAM","zoneHydro","can_hydrodam"
"Z_04_B","#MAPZONE_REPULSOR_STATION","#MAPZONE_REPULSOR_STATION_SHORT","zoneRepulsor","can_repulsor"
"Z_05_A","#MAPZONE_TWO_SPINES","","zoneTwoSpines",""
"Z_05_B","#MAPZONE_TWO_SPINES","","zoneTwoSpines",""
"Z_05_C","#MAPZONE_THE_FARM","","zoneFarm",""
"Z_05_D","#MAPZONE_TWO_SPINES_OUTPOST","","zoneTwoSpines",""
"Z_05_HB","#MAPZONE_HB_Z5","","zoneFarm",""
"Z_06_A","#MAPZONE_CAGE","#MAPZONE_CAGE_SHORT","zoneCage","can_cage"
"Z_06_B","#MAPZONE_DES_BRIDGES","","zoneCage","can_cage"
"Z_06_C","","","zoneCage","can_cage"
"Z_06_HB","#MAPZONE_HB_Z6","#MAPZONE_HB_Z6","zoneCage","can_cage"
"Z_06_D","#MAPZONE_CAGE_CROSSING","#MAPZONE_CAGE_CROSSING","zoneCage","can_cage"
"Z_07_A","#MAPZONE_RIVERS_END","","zoneRiversEnd",""
"Z_07_B","#MAPZONE_WATCHTOWER_SOUTH","","zoneWatchtowerSouth",""
"Z_07_C","#MAPZONE_OBSERVATORY","#MAPZONE_OBSERVATORY_SHORT","",""
"Z_07_D","#MAPZONE_RIVERS_END","","zoneRiversEnd",""
"Z_07_E","#MAPZONE_VERDANT_CROSSING","#MAPZONE_VERDANT_CROSSING","",""
