"triggerName","zoneName","miniMapName","zoneGroup","statsRef"
"Z_01_A","#MAPZONE_INTERSTELLAR_RELAY","#MAPZONE_INTERSTELLAR_RELAY_SHORT","zoneRelay","can_relay"
"Z_01_B","#MAPZONE_WETLANDS","#MAPZONE_WETLANDS","zoneWetlands","can_wetlands"
"Z_02_A","#MAPZONE_SWAMPLAND","#MAPZONE_SWAMPLAND_SHORT","zoneSwamps","can_swamps"
"Z_02_B","#MAPZONE_SWAMPLAND","","zoneSwamps","can_swamps"
"Z_03_A","#MAPZONE_REGROWING_FOREST","","zoneShatteredForest",""
"Z_03_B","#MAPZONE_WRAITH_TT","#MAPZONE_WRAITH_TT_SHORT","zoneShatteredForest",""
"Z_03_C","#MAPZONE_WRAITH_TT_INSIDE","","zoneShatteredForest",""
"Z_04_A","#MAPZONE_HYDRO_DAM","#MAPZONE_HYDRO_DAM","zoneHydro","can_hydrodam"
"Z_04_B","#MAPZONE_REPULSOR_STATION","#MAPZONE_REPULSOR_STATION_SHORT","zoneRepulsor","can_repulsor"
"Z_05_A","#MAPZONE_TWO_SPINES","","zoneTwoSpines",""
"Z_05_B","#MAPZONE_TWO_SPINES","","zoneTwoSpines",""
"Z_05_C","#MAPZONE_THE_FARM","","zoneFarm",""
"Z_06_A","#MAPZONE_CAGE","#MAPZONE_CAGE_SHORT","zoneCage","can_cage"
"Z_06_B","#MAPZONE_DES_BRIDGES","","zoneCage","can_cage"
"Z_06_C","","","zoneCage","can_cage"
"Z_07_A","#MAPZONE_RIVERS_END","","zoneRiversEnd",""
"Z_07_B","#MAPZONE_WATCHTOWER_SOUTH","","zoneWatchtowerSouth",""
"Z_07_C","#MAPZONE_LANDING_PAD","","zoneLandingPad",""
"Z_07_D","#MAPZONE_RIVERS_END","","zoneRiversEnd",""
"Z_08_ARTILLERY","#MAPZONE_ARTILLERY_BATTERY","#MAPZONE_ARTILLERY_BATTERY_SHORT","zoneArtillery","can_artillery"
"Z_09_A","#MAPZONE_CONTAINMENT","#MAPZONE_CONTAINMENT_SHORT","zoneContainment","can_containment"
"Z_09_B","#MAPZONE_WATCHTOWER_NORTH","","zoneWatchtowerNorth","can_containment"
"Z_09_C","#MAPZONE_DES_CASCADES","","zoneContainment","can_containment"
"Z_09_D","#MAPZONE_DES_CASCADES","","zoneContainment","can_containment"
"Z_09_E","#MAPZONE_DES_CASCADES","","zoneContainment","can_containment"
"Z_09_F","#MAPZONE_HILLSIDE","","zoneContainment","can_containment"
"Z_09_G","#MAPZONE_DES_CASCADES","","zoneContainment","can_containment"
"Z_10_A","#MAPZONE_RIVER_CENTER","","zoneRiverCenter",""
"Z_10_B","#MAPZONE_RIVER_CENTER","","zoneRiverCenter",""
"Z_11_A","#MAPZONE_WATER_TREATMENT","#MAPZONE_WATER_TREATMENT","zoneWaterTreatment","can_watertreatment"
"Z_11_B","#MAPZONE_WATER_TREATMENT","","zoneWaterTreatment","can_watertreatment"
"Z_12_A","#MAPZONE_SLUM_LAKES","#MAPZONE_SLUM_LAKES","zoneSlumLakes","can_slumlakes"
"Z_12_B","#MAPZONE_SLUM_LAKES","","zoneSlumLakes","can_slumlakes"
"Z_12_C","#MAPZONE_SLUM_LAKES","","zoneSlumLakes","can_slumlakes"
"Z_13_ARENA","#MAPZONE_THE_ARENA","#MAPZONE_THE_ARENA","zoneArena","can_pit"
"Z_13_A","#MAPZONE_RUNOFF","","zoneRunoff",""
"Z_13_B","#MAPZONE_HIGH_DESERT","","zoneHighDesert",""
"Z_13_C","#MAPZONE_OASIS","","zoneHighDesert",""
"Z_13_D","#MAPZONE_HIGH_DESERT","","zoneHighDesert",""
"Z_13_E","#MAPZONE_HIGH_DESERT","","zoneHighDesert",""
"Z_13_F","#MAPZONE_HIGH_DESERT","","zoneHighDesert",""
"Z_13_G","#MAPZONE_CROSSROADS","","zoneCrossroads",""
"Z_13_H","#MAPZONE_GOLDEN_SANDS","","zoneHighDesert",""
"Z_14_RUNOFF","#MAPZONE_RUNOFF","#MAPZONE_RUNOFF","zoneRunoff","can_runoff"
"Z_15_AIRBASE","#MAPZONE_AIRBASE","#MAPZONE_AIRBASE","zoneAirbase","can_airbase"
"Z_16_SKULLTOWN","#MAPZONE_SKULL_TOWN","#MAPZONE_SKULL_TOWN","zoneSkulltown","can_skulltown"
"Z_16_MALL","#MAPZONE_MARKETPLACE","#MAPZONE_MARKETPLACE_SHORT","zoneMarket","can_market"
