"triggerName","zoneName","miniMapName","zoneGroup","statsRef"
"zone_1_street_market","#DIST_ZONE_1_STREET_MARKET","","",""
"zone_1_shipyard_arcade","#DIST_ZONE_2_SHIPYARD_ARCADE","","",""
"zone_1_viaduct","#DIST_ZONE_2_VIADUCT","","",""
"zone_1_draft_point","#DIST_ZONE_3_DRAFT_POINT","","",""
"zone_1_humbert_labs","#DIST_ZONE_4_HUMBERT_LABS","","",""
"zone_1_old_town","#DIST_ZONE_5_OLD_TOWN","","",""
"zone_1_stadium","#DIST_ZONE_6_STADIUM","","",""
"zone_1_heights","#DIST_ZONE_7_HEIGHTS","","",""
"zone_1_electro_dam","#DIST_ZONE_8_ELECTRO_DAM","","",""
"zone_1_galleria","#DIST_ZONE_9_GALLERIA","","",""
"zone_1_the_lotus","#DIST_ZONE_10_THE_LOTUS","","",""
"zone_1_resort","#DIST_ZONE_11_RESORT","","",""
"zone_1_city_hall","#DIST_ZONE_12_CITY_HALL","","",""
"zone_1_boardwalk","#DIST_ZONE_13_BOARDWALK","","",""
"zone_1_blossom_drive","#DIST_ZONE_14_BLOSSOM_DRIVE","","",""
"zone_1_neon_square","#DIST_ZONE_15_NEON_SQUARE","","",""
"zone_1_energy_bank","#DIST_ZONE_16_ENERGY_BANK","","",""
"string","string","string","string","string"
