"triggerName","zoneName","miniMapName","chroma","statsRef"
"Z_00","#MAPZONE_ZONE_EMPTY","","",""
"Z_01_A","#MAPZONE_ZONE_OASIS","#MAPZONE_ZONE_OASIS_SHORT","",""
"Z_01_B","#MAPZONE_ZONE_OASIS_CAFE","","",""
"Z_01_C","#MAPZONE_ZONE_OASIS_TOWN","","",""
"Z_02_A","#MAPZONE_ZONE_DOCKS","#MAPZONE_ZONE_DOCKS","",""
"Z_02_B","#MAPZONE_ZONE_SHIP","#MAPZONE_ZONE_SHIP_SHORT","",""
"Z_02_C","#MAPZONE_ZONE_RING","#MAPZONE_ZONE_RING_SHORT","",""
"Z_02_D","#MAPZONE_ZONE_FRINGE","","",""
"Z_02_E","#MAPZONE_ZONE_SHIPTOWN","","",""
"Z_03_A","#MAPZONE_ZONE_GRID","#MAPZONE_ZONE_GRID_SHORT","",""
"Z_03_B","#MAPZONE_ZONE_GRID_B","","",""
"Z_03_C","#MAPZONE_ZONE_TRACK","","",""
"Z_04_A","#MAPZONE_ZONE_RIFT","#MAPZONE_ZONE_RIFT_SHORT","",""
"Z_05_A","#MAPZONE_ZONE_TURBINE","#MAPZONE_ZONE_TURBINE_SHORT","",""
"Z_05_B","#MAPZONE_ZONE_TUNNEL","","",""
"Z_05_C","#MAPZONE_ZONE_UTILITY","","",""
"Z_06_A","#MAPZONE_ZONE_FLATS","","",""
"Z_06_B","#MAPZONE_ZONE_ESTATES","#MAPZONE_ZONE_ESTATES_SHORT","",""
"Z_07_A","#MAPZONE_ZONE_LABS","#MAPZONE_ZONE_LABS","",""
"Z_07_B","#MAPZONE_ZONE_LABS_TOWN","","",""
"Z_07_C","#MAPZONE_ZONE_WATERFALL","","",""
"Z_08_A","#MAPZONE_ZONE_UNDERBELLY","#MAPZONE_ZONE_UNDERBELLY","",""
"Z_08_B","#MAPZONE_ZONE_UNDERBELLY_OUTER","","",""
"Z_09_A","#MAPZONE_ZONE_GARDENS","#MAPZONE_ZONE_GARDENS_SHORT","",""
"Z_9_B","#MAPZONE_ZONE_GARDENS_TOWN_A","","",""
"Z_9_C","#MAPZONE_ZONE_GARDENS_TOWN_B","","",""
"Z_10_A","#MAPZONE_ZONE_MARINA","#MAPZONE_ZONE_MARINA","",""
"Z_11_A","#MAPZONE_ZONE_HYDROPONICS","#MAPZONE_ZONE_HYDROPONICS","",""
"Z_11_B","#MAPZONE_ZONE_FARM","","",""
"Z_11_C","#MAPZONE_ZONE_UNDERTOWN","","",""
"Z_11_D","#MAPZONE_ZONE_WESTWALL","","",""
"Z_11_E","#MAPZONE_ZONE_FARMTOWN","","",""
"Z_12_A","#MAPZONE_ZONE_DOWNTOWN","#MAPZONE_ZONE_DOWNTOWN","",""
"Z_12_B","#MAPZONE_ZONE_DOWNTOWN_EXTERIOR","","",""
"Z_12_C","#MAPZONE_ZONE_DOWNTOWN_CAFE","","",""
"Z_13_A","#MAPZONE_ZONE_CROSSROADS_A","","",""
"Z_13_B","#MAPZONE_ZONE_CROSSROADS_B","","",""
"Z_13_C","#MAPZONE_ZONE_SOLARWAVE","#MAPZONE_ZONE_SOLARWAVE","",""
"Z_13_I","#MAPZONE_ZONE_INFECTION","#MAPZONE_ZONE_INFECTION","",""
"Z_14_A","#MAPZONE_ZONE_HOLE","","",""
"Z_14_B","#MAPZONE_ZONE_GROWTOWERS","#MAPZONE_ZONE_GROWTOWERS","",""
"Z_15_A","#MAPZONE_ZONE_RND","#MAPZONE_ZONE_RND_SHORT","",""
"Z_15_B","#MAPZONE_ZONE_RND_EXTERIOR","","",""
"Z_15_C","#MAPZONE_ZONE_RND_TOWN","","",""
"JCT_06_11","#MAPZONE_ZONE_GATEWAY_A","","",""
"JCT_07_14","#MAPZONE_ZONE_GATEWAY_B","","",""
"Z_16_A","#MAPZONE_ZONE_PHASEDRIVER","#MAPZONE_ZONE_PHASEDRIVER","",""
"Z_16_B","#MAPZONE_ZONE_TERMINAL","#MAPZONE_ZONE_TERMINAL_SHORT","",""
"Z_16_C","#MAPZONE_ZONE_SHIFTED_GROUNDS","","",""
"Z_11_F","#MAPZONE_ZONE_BACKLOT","","",""
"Z_9_TT","#MAPZONE_ZONE_LIFELINE_CLINIC","#MAPZONE_ZONE_LIFELINE_CLINIC_SHORT","",""
"string","string","string","string","string"
