"triggerName","zoneName","miniMapName","zoneGroup","statsRef"
"zone_1_lighthouse","#TRO_ZONE_1_FISH_FARMS","","",""
"zone_1_islands","#TRO_ZONE_1_RIDGE","","",""
"zone_1_launch","#TRO_ZONE_16_LAUNCHPAD","","",""
"zone_1_SOS","#TRO_ZONE_10_ANTENNA","","",""
"zone_1_crash","#TRO_ZONE_15_SHIPFALL","","",""
"zone_1_analomy","#TRO_ZONE_12_BAROMETER","","",""
"zone_1_coral","#TRO_ZONE_1_SOUTHERN","","",""
"zone_1_murder","#TRO_ZONE_1_MURDERISLAND","","",""
"zone_1_fingers","#TRO_ZONE_1_FINGERS","","",""
"zone_1_north","#TRO_ZONE_2_NORTHPAD","","",""
"zone_1_wreckage","#TRO_ZONE_6_WALL","","",""
"zone_1_slope","#TRO_ZONE_6_BLACKDIAMOND","","",""
"zone_1_under","#TRO_ZONE_4_MOUNTAINCAVE","","",""
"zone_1_bunker","#TRO_ZONE_6_COMMANDCENTER","","",""
"zone_1_OPT","#TRO_ZONE_8_THUNDERWATCH","","",""
"zone_1_top","#TRO_ZONE_7_MOUNTAINTOP","","",""
"zone_1_storm","#TRO_ZONE_8_STORMCATCHER","","",""
"zone_1_over","#TRO_ZONE_2_CHECKPOINT","","",""
"zone_1_oasis","#TRO_ZONE_6_OASIS","","",""
"zone_1_lift","#TRO_ZONE_1_LIFT","","",""
"zone_1_lift_east","#TRO_ZONE_6_LIFT","","",""
"zone_1_middle","#TRO_ZONE_10_FORBIDDEN","","",""
"zone_1_south","#TRO_ZONE_15_GALESTATION","","",""
"zone_1_forest","#TRO_ZONE_2_FOREST","","",""
"zone_1_east","#TRO_ZONE_8_EAST","","",""
"zone_1_bunny","#TRO_ZONE_4_BUNNY","","",""
"zone_1_lagoon","#TRO_ZONE_1_LAGOON","","",""
"zone_1_southbase","#TRO_ZONE_11_CENOTE","","",""
"zone_1_sunken","#TRO_ZONE_1_MILL","","",""
"zone_1_pods","#TRO_ZONE_1_SIREN","","",""
"zone_1_sum","#TRO_ZONE_7_HIGHPOINT","","",""
"zone_5_native","#TRO_ZONE_4_CASCADE","","",""
"zone_5_water","#TRO_ZONE_5_WATER","","",""
"zone_9_river_center","#TRO_ZONE_9_RIVER","","",""
"zone_9_colony_camp","#TRO_ZONE_9_COLONY","","",""
"zone_3_meridian","#TRO_ZONE_3_MERIDIAN","","",""
"zone_10_quarantine","#TRO_ZONE_10_CAVE","","",""
"zone_15_island","#TRO_ZONE_15_ISLAND","","",""
"zone_7_lightning","#TRO_ZONE_7_LIGHTNING_ROD","","",""
"zone_1_dave","#TRO_ZONE_12_DAVE","","",""
"zone_1_alex","#TRO_ZONE_12_ALEX","","",""
"zone_1_davis","#TRO_ZONE_12_DAVIS","","",""
"zone_1_cory","#TRO_ZONE_12_CORY","","",""
"zone_1_zavala","#TRO_ZONE_12_ZAVALA","","",""
"zone_3_trenches","#TRO_ZONE_2_TRENCHES","","",""
"zone_3_black_sand","#TRO_ZONE_2_BLACKSAND","","",""
"zone_4_mc","#TRO_ZONE_4_MCCORD","","",""
"zone_11_medina","#TRO_ZONE_11_MEDINA","","",""
"zone_11_aob","#TRO_ZONE_11_AOB","","",""
"zone_3__uncharted","#TRO_ZONE_3_UNCHARTED","","",""
"zone_0_prowler","#TRO_ZONE_1_PROWLER","","",""
"zone_1_prowler","#TRO_ZONE_2_PROWLER","","",""
"zone_2_prowler","#TRO_ZONE_3_PROWLER","","",""
"zone_3_prowler","#TRO_ZONE_4_PROWLER","","",""
"zone_4_prowler","#TRO_ZONE_5_PROWLER","","",""
"zone_5_prowler","#TRO_ZONE_6_PROWLER","","",""
"zone_6_prowler","#TRO_ZONE_7_PROWLER","","",""
"zone_1_downed_beast","#TRO_ZONE_1_DOWNED_BEAST","","",""
"zone_6_amp_station","#TRO_ZONE_6_AMP_STATION","#TRO_ZONE_6_AMP_STATION_SHORT","",""
"zone_7_pylon","#TRO_ZONE_7_PYLON","#TRO_ZONE_7_PYLON_SHORT","",""
"zone_1_mirage","#DES_ZONE_MIRAGE_BOAT","","",""
"zone_14_echo","#TRO_ZONE_14_ECHO","","",""
"zone_16_pylon","#TRO_ZONE_16_PYLON","","",""
"zone_15_echohq","#TRO_ZONE_15_ECHOHQ","","",""
"zone_1_coast","#TRO_ZONE_1_COAST","","",""
"zone_16_pylon_short","#TRO_ZONE_16_PYLON_SHORT","","",""
"zone_16_pylon","#TRO_ZONE_16_PYLON","","",""
"zone_6_amp_station_a","#TRO_ZONE_6_AMP_STATION_A","#TRO_ZONE_6_AMP_STATION_A_SHORT","",""
"zone_6_amp_station_b","#TRO_ZONE_6_AMP_STATION_B","#TRO_ZONE_6_AMP_STATION_B_SHORT","",""
"zone_1_secret","#TRO_ZONE_1_SECRET","","",""
"string","string","string","string","string"
